count,country_1,lin,sum,percentage,month
2,Japan,B.1.1.7,145,1.3793103448275863,2020-01
1,Japan,B.1.1.285,145,0.6896551724137931,2020-01
53,Japan,B.1.1.284,145,36.55172413793103,2020-01
30,Japan,B.1.1.214,145,20.689655172413794,2020-01
1,Japan,B.1.1.29,145,0.6896551724137931,2020-01
32,Japan,B.1.1,145,22.06896551724138,2020-01
1,Japan,B.1,145,0.6896551724137931,2020-01
3,Japan,B,145,2.0689655172413794,2020-01
6,Japan,A,145,4.137931034482759,2020-01
1,Kazakhstan,B.1.1.136,1,100.0,2020-01
1,Kenya,B.1,1,100.0,2020-01
1,Lebanon,B.1.398,1,100.0,2020-01
2,Malaysia,A,9,22.22222222222222,2020-01
1,Malaysia,B,9,11.11111111111111,2020-01
3,Malaysia,B.1.36.10,9,33.33333333333333,2020-01
3,Malaysia,None,9,33.33333333333333,2020-01
1,Mexico,B.1,3,33.33333333333333,2020-01
1,Mexico,B.1.1.432,3,33.33333333333333,2020-01
1,Mexico,B.1.609,3,33.33333333333333,2020-01
1,Morocco,B.1.1.409,5,20.0,2020-01
1,Morocco,B.1.597,5,20.0,2020-01
1,Morocco,B.1.1,5,20.0,2020-01
2,Morocco,B.1,5,40.0,2020-01
1,Myanmar,B.1.36.36,1,100.0,2020-01
1,Nepal,B.1.36.10,1,100.0,2020-01
3,Netherlands,B.1.223,487,0.6160164271047228,2020-01
1,Netherlands,B.1.234,487,0.20533880903490762,2020-01
2,Netherlands,B.1.258,487,0.41067761806981523,2020-01
1,Netherlands,B.1.258.17,487,0.20533880903490762,2020-01
5,Netherlands,B.1.310,487,1.0266940451745379,2020-01
1,Netherlands,B.1.351,487,0.20533880903490762,2020-01
20,Netherlands,B.1.356,487,4.1067761806981515,2020-01
9,Netherlands,B.1.36,487,1.8480492813141685,2020-01
1,Netherlands,B.1.36.1,487,0.20533880903490762,2020-01
1,Netherlands,B.1.36.36,487,0.20533880903490762,2020-01
2,Netherlands,B.1.367,487,0.41067761806981523,2020-01
1,Netherlands,B.1.408,487,0.20533880903490762,2020-01
2,Netherlands,B.1.416.1,487,0.41067761806981523,2020-01
2,Netherlands,B.1.523,487,0.41067761806981523,2020-01
3,Netherlands,B.1.78,487,0.6160164271047228,2020-01
54,Netherlands,B.1.8,487,11.088295687885012,2020-01
1,Netherlands,B.1.9,487,0.20533880903490762,2020-01
1,Netherlands,B.1.9.5,487,0.20533880903490762,2020-01
1,Netherlands,B.1.91,487,0.20533880903490762,2020-01
18,Netherlands,B.11,487,3.696098562628337,2020-01
11,Netherlands,B.3,487,2.2587268993839835,2020-01
2,Netherlands,B.40,487,0.41067761806981523,2020-01
16,Netherlands,B.55,487,3.285420944558522,2020-01
1,Netherlands,B.58,487,0.20533880903490762,2020-01
2,Netherlands,L.2,487,0.41067761806981523,2020-01
2,Netherlands,W.2,487,0.41067761806981523,2020-01
2,Netherlands,B.1.516,487,0.41067761806981523,2020-01
55,Netherlands,B.1.221,487,11.293634496919918,2020-01
12,Netherlands,B.1.96,487,2.4640657084188913,2020-01
